fecha,tipo_movimiento,referencia,descripcion,importe,proveedor_cliente,medio_pago,estado
27/08/2026,pago,OP-1039,PAGO CLIENTE NEXO SA REF OP-1039,"422150,34",Cliente Nexo SA,mercado pago,acreditado
15/08/2026,pago,OP-1046,PAGO FERRETERIA INDUSTRIAL SA REF OP-1046,"432115,92",Ferreteria Industrial SA,transferencia,acreditado
17/08/2026,pago,OP-1003,PAGO PAPELERA DEL SUR SRL REF OP-1003,"107290,31",Papelera del Sur SRL,debito automatico,acreditado
17/08/2026,pago,OP-1043,PAGO LOGISTICA NORTE SRL REF OP-1043,"81765,56",Logistica Norte SRL,debito automatico,acreditado
13/08/2026,pago,OP-1029,PAGO ESTUDIO JURIDICO PAZ REF OP-1029,"33302,72",Estudio Juridico Paz,debito automatico,acreditado
15/08/2026,pago,OP-1055,PAGO CLIENTE NEXO SA REF OP-1055,"205047,00",Cliente Nexo SA,transferencia,acreditado
27/08/2026,pago,,TRANSF PAPELERA DEL SUR S.R.L. REF OP-,"305553,68",Papelera del Sur SRL,mercado pago,acreditado
21/08/2026,pago,OP-1049,PAGO DISTRIBUIDORA ANDINA SA REF OP-1049,"36863,70",Distribuidora Andina SA,transferencia,acreditado
05/08/2026,pago,OP-1026,PAGO SERVICIOS TECNICOS MR REF OP-1026,"478724,40",Servicios Tecnicos MR,debito automatico,acreditado
25/08/2026,pago,,TRANSF DISTRIBUIDORA ANDINA S.A. REF O,"4691,29",Distribuidora Andina SA,cheque,acreditado
25/08/2026,pago,OP-1013,PAGO DISTRIBUIDORA ANDINA SA REF OP-1013,"318422,60",Distribuidora Andina SA,mercado pago,acreditado
25/08/2026,pago,OP-1061,PAGO DISTRIBUIDORA ANDINA SA REF OP-1061,"465211,21",Distribuidora Andina SA,cheque,acreditado
24/08/2026,pago,OP-1052,PAGO SERVICIOS TECNICOS MR REF OP-1052,"260214,59",Servicios Tecnicos MR,debito automatico,acreditado
18/08/2026,pago,OP-1044,PAGO COMERCIAL VICENTE LOPEZ REF OP-1044,"463001,11",Comercial Vicente Lopez,cheque,acreditado
24/08/2026,pago,OP-1024,PAGO LOGISTICA NORTE SRL REF OP-1024,"260092,17",Logistica Norte SRL,debito automatico,acreditado
28/08/2026,pago,OP-1014,PAGO PAPELERA DEL SUR SRL REF OP-1014,"410986,55",Papelera del Sur SRL,transferencia,acreditado
26/08/2026,pago,OP-1009,PAGO CLIENTE NEXO SA REF OP-1009,"290977,32",Cliente Nexo SA,transferencia,acreditado
04/08/2026,pago,OP-1008,PAGO PAPELERA DEL SUR SRL REF OP-1008,"47239,77",Papelera del Sur SRL,mercado pago,acreditado
19/08/2026,pago,OP-1005,PAGO COMERCIAL VICENTE LOPEZ REF OP-1005,"108150,18",Comercial Vicente Lopez,mercado pago,acreditado
17/08/2026,pago,OP-1034,PAGO LOGISTICA NORTE SRL REF OP-1034,"366455,97",Logistica Norte SRL,transferencia,acreditado
11/08/2026,pago,OP-2003,PAGO SERVICIOS TECNICOS MR REF OP-2003,"323478,97",Servicios Tecnicos MR,cheque,acreditado
07/08/2026,pago,OP-1021,PAGO COMERCIAL VICENTE LOPEZ REF OP-1021,"130712,40",Comercial Vicente Lopez,debito automatico,acreditado
04/08/2026,pago,,TRANSF COMERCIAL VICENTE LOPEZ REF OP-,"270552,57",Comercial Vicente Lopez,transferencia,acreditado
16/08/2026,pago,,PAGO ESTUDIO JURIDICO PAZ REF OP-4000,"266554,47",Estudio Juridico Paz,cheque,acreditado
13/08/2026,pago,OP-1018,PAGO SERVICIOS TECNICOS MR REF OP-1018,"80942,99",Servicios Tecnicos MR,mercado pago,acreditado
22/08/2026,pago,OP-1045,PAGO INSUMOS BELGRANO SRL REF OP-1045,"193319,33",Insumos Belgrano SRL,mercado pago,acreditado
23/08/2026,pago,OP-1004,PAGO DISTRIBUIDORA ANDINA SA REF OP-1004,"270713,90",Distribuidora Andina SA,debito automatico,acreditado
05/08/2026,pago,OP-2009,PAGO PAPELERA DEL SUR SRL REF OP-2009,"358664,59",Papelera del Sur SRL,mercado pago,acreditado
19/08/2026,pago,OP-1068,PAGO CLIENTE NEXO SA REF OP-1068,"30267,84",Cliente Nexo SA,efectivo,acreditado
18/08/2026,pago,OP-1030,PAGO FERRETERIA INDUSTRIAL SA REF OP-1030,"255387,54",Ferreteria Industrial SA,transferencia,acreditado
16/08/2026,pago,OP-1062,PAGO TRANSPORTES QUILMES SA REF OP-1062,"196859,51",Transportes Quilmes SA,cheque,acreditado
14/08/2026,pago,OP-5002,PAGO CLIENTE NEXO SA REF OP-5002,"376198,36",Cliente Nexo SA,cheque,acreditado
17/08/2026,pago,OP-1035,PAGO INSUMOS BELGRANO SRL REF OP-1035,"404476,28",Insumos Belgrano SRL,debito automatico,acreditado
05/08/2026,pago,,PAGO INSUMOS BELGRANO SRL REF OP-4001,"176938,77",Insumos Belgrano SRL,mercado pago,acreditado
24/08/2026,pago,OP-1033,PAGO FERRETERIA INDUSTRIAL SA REF OP-1033,"4548,02",Ferreteria Industrial SA,mercado pago,acreditado
25/08/2026,pago,OP-2004,PAGO INSUMOS BELGRANO SRL REF OP-2004,"219923,32",Insumos Belgrano SRL,transferencia,acreditado
21/08/2026,pago,OP-1060,PAGO LOGISTICA NORTE SRL REF OP-1060,"49702,46",Logistica Norte SRL,debito automatico,acreditado
26/08/2026,pago,OP-1020,PAGO SERVICIOS TECNICOS MR REF OP-1020,"394999,84",Servicios Tecnicos MR,mercado pago,acreditado
07/08/2026,pago,OP-1057,PAGO PAPELERA DEL SUR SRL REF OP-1057,"121609,07",Papelera del Sur SRL,debito automatico,acreditado
03/08/2026,pago,OP-2000,PAGO DISTRIBUIDORA ANDINA SA REF OP-2000,"459783,70",Distribuidora Andina SA,cheque,acreditado
04/08/2026,pago,OP-1054,PAGO COMERCIAL VICENTE LOPEZ REF OP-1054,"93825,53",Comercial Vicente Lopez,efectivo,acreditado
09/08/2026,pago,OP-1064,PAGO DISTRIBUIDORA ANDINA SA REF OP-1064,"472992,32",Distribuidora Andina SA,efectivo,acreditado
22/08/2026,pago,OP-2008,PAGO LOGISTICA NORTE SRL REF OP-2008,"145105,72",Logistica Norte SRL,transferencia,acreditado
24/08/2026,pago,OP-1056,PAGO PAPELERA DEL SUR SRL REF OP-1056,"31912,25",Papelera del Sur SRL,mercado pago,acreditado
19/08/2026,pago,OP-1040,PAGO SERVICIOS TECNICOS MR REF OP-1040,"30630,30",Servicios Tecnicos MR,transferencia,acreditado
03/08/2026,pago,OP-2006,PAGO TRANSPORTES QUILMES SA REF OP-2006,"448912,94",Transportes Quilmes SA,cheque,acreditado
23/08/2026,pago,OP-5003,PAGO INSUMOS BELGRANO SRL REF OP-5003,"78937,37",Insumos Belgrano SRL,transferencia,acreditado
18/08/2026,pago,OP-1067,PAGO DISTRIBUIDORA ANDINA SA REF OP-1067,"279269,00",Distribuidora Andina SA,transferencia,acreditado
01/08/2026,pago,OP-5001,PAGO TRANSPORTES QUILMES SA REF OP-5001,"423435,53",Transportes Quilmes SA,cheque,acreditado
06/08/2026,pago,OP-1017,PAGO PAPELERA DEL SUR SRL REF OP-1017,"293555,49",Papelera del Sur SRL,debito automatico,acreditado
06/08/2026,pago,OP-1058,PAGO FERRETERIA INDUSTRIAL SA REF OP-1058,"69866,96",Ferreteria Industrial SA,mercado pago,acreditado
21/08/2026,pago,OP-1015,PAGO COMERCIAL VICENTE LOPEZ REF OP-1015,"135593,41",Comercial Vicente Lopez,mercado pago,acreditado
18/08/2026,pago,OP-1031,PAGO PAPELERA DEL SUR SRL REF OP-1031,"328175,85",Papelera del Sur SRL,mercado pago,acreditado
19/08/2026,pago,OP-2001,PAGO SERVICIOS TECNICOS MR REF OP-2001,"194033,46",Servicios Tecnicos MR,cheque,acreditado
06/08/2026,pago,OP-1006,PAGO DISTRIBUIDORA ANDINA SA REF OP-1006,"364951,11",Distribuidora Andina SA,efectivo,acreditado
03/08/2026,pago,OP-1059,PAGO FERRETERIA INDUSTRIAL SA REF OP-1059,"122157,68",Ferreteria Industrial SA,efectivo,acreditado
10/08/2026,pago,OP-1066,PAGO FERRETERIA INDUSTRIAL SA REF OP-1066,"76838,09",Ferreteria Industrial SA,cheque,acreditado
17/08/2026,pago,,PAGO SERVICIOS TECNICOS MR REF OP-4002,"321127,24",Servicios Tecnicos MR,debito automatico,acreditado
16/08/2026,pago,OP-1022,PAGO CLIENTE NEXO SA REF OP-1022,"104422,86",Cliente Nexo SA,efectivo,acreditado
